address,as_of_date,city,phone,state,location_id,store_services,title,url,zipcode,postcode,latitude,longitude,has_next_gen,is_flagship,has_pickup,has_curbside,has_same_day,has_balloon_delivery,has_helium,num_omni_features,nearest_neighbor_miles,stores_within_3_miles,stores_within_6_miles,cluster
13477 Middlebelt Road,2024-10-07,Livonia,(734) 666-3019,Michigan,539,In-Store Shopping | In-Store Pickup | Curbside Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Livonia Commons,https://stores.partycity.com/us/mi/livonia/party-store-pc539.html,48150,48150,42.3811561,-83.3357704,False,False,True,True,True,True,True,True,4.312756994985326,0,1,0
5114 28th Street SE,2024-10-07,Grand Rapids,(616) 365-5419,Michigan,4107,In-Store Shopping | In-Store Pickup | Curbside Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Waterfall Shoppes,https://stores.partycity.com/us/mi/grandrapids/party-store-pc4107.html,49512,49512,42.9108415,-85.54078179999999,False,False,True,True,True,True,True,True,12.014651673584428,0,0,0
2677 Oak Valley Dr,2024-10-07,Ann Arbor,(734) 519-5591,Michigan,4111,In-Store Shopping | In-Store Pickup | Curbside Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Oak Valley Plaza,https://stores.partycity.com/us/mi/annarbor/party-store-pc4111.html,48103,48103,42.24749,-83.7689591,False,False,True,True,True,True,True,True,20.135663621759193,0,0,0
3000 White Bear Avenue North,2024-10-07,Maplewood,(612) 428-0697,Minnesota,1138,In-Store Shopping | In-Store Pickup | Curbside Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Plaza 3000 Shopping Center,https://stores.partycity.com/us/mn/maplewood/party-store-pc1138.html,55109,55109,45.03223759999999,-93.0146469,False,False,True,True,True,True,True,True,7.847729554137335,0,0,0
2560 Lemay Ferry Road,2024-10-07,Saint Louis,(314) 396-2245,Missouri,5163,In-Store Shopping | In-Store Pickup | Curbside Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Lemay Plaza,https://stores.partycity.com/us/mo/saintlouis/party-store-pc5163.html,63125,63125,38.5183853,-90.3050488,False,False,True,True,True,True,True,True,6.148167713388294,0,0,0
940 NE Sam Walton Lane,2024-10-07,Lee's Summit,(816) 272-1616,Missouri,1115,In-Store Shopping | Next Gen | In-Store Pickup | Curbside Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Sam Walton Lane,https://stores.partycity.com/us/mo/leessummit/party-store-pc1115.html,64086,64086,38.9292874,-94.36172150000002,True,False,True,True,True,True,True,True,7.859456693821812,0,0,0
7285 Arroyo Crossing Parkway,2024-10-07,Las Vegas,(725) 231-8660,Nevada,487,In-Store Shopping | Next Gen | In-Store Pickup | Curbside Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Arroyo Market Square,https://stores.partycity.com/us/nv/lasvegas/party-store-pc487.html,89118,89118,36.0620978,-115.2505629,True,False,True,True,True,True,True,True,7.525328520348652,0,0,0
180 Marketplace Boulevard,2024-10-07,Trenton,(609) 631-5992,New Jersey,713,In-Store Shopping | In-Store Pickup | Curbside Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Hamilton Marketplace,https://stores.partycity.com/us/nj/trenton/party-store-pc713.html,8691,8691,40.1920338,-74.64050069999999,False,False,True,True,True,True,True,True,8.045693078509002,0,0,0
3149 Kennedy Boulevard,2024-10-07,North Bergen,(201) 381-5766,New Jersey,711,In-Store Shopping | In-Store Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Columbia Park Shopping Center,https://stores.partycity.com/us/nj/northbergen/party-store-pc711.html,7047,7047,40.7747766,-74.03540559999999,False,False,True,False,True,True,True,True,3.3604606385209466,0,4,0
50 NJ-36,2024-10-07,Eatontown,(732) 440-3176,New Jersey,1020,Flag Ship Store | In-Store Shopping | Next Gen | In-Store Pickup | Curbside Pickup | Scheduled or Same Day Delivery | Balloon Delivery | Helium,Eatontown Plaza,https://stores.partycity.com/us/nj/eatontown/party-store-pc1020.html,7724,7724,40.2895948,-74.0485557,True,True,True,True,True,True,True,True,11.385156214588816,0,0,2
